center_id,meal_id,current_price,recommended_price,price_change_pct,expected_demand,expected_revenue,demand_loss_vs_current
43,2290,298.82,358.58,0.19998661401512607,1382.684853836858,495803.1348888206,0.04145836686588866
13,2290,290.09,348.11,0.2000068944120792,1358.912093840202,473050.8889867127,0.04146263171943154
10,2290,289.09,346.91,0.20000691826074934,1290.7671190418228,447780.0212667988,0.04335992617938611
43,1962,564.6,677.52,0.19999999999999996,611.4774031831199,414288.1702046274,0.041497073288576436
13,1885,159.14,190.97,0.20001256755058439,2136.8793412337363,408079.84779540665,0.028531322423811845
67,1962,564.6,677.52,0.19999999999999996,595.5277464444421,403481.9587710384,0.04149881256813481
13,1962,564.6,677.52,0.19999999999999996,589.648755189041,399498.82461567904,0.04149947739230919
13,1109,287.18,344.62,0.20001392854655609,1150.8854915305933,396618.15809127304,0.04146921933418424
52,1962,563.6,676.32,0.19999999999999996,564.0921492532631,381506.8023829669,0.04150252849923208
10,1109,292.03,350.44,0.2000136972228881,1051.2085909275725,368385.5386046585,0.041472448512648974
132,1962,563.6,676.32,0.19999999999999996,527.7786934310108,356947.2859412612,0.028569230913426447
89,1962,563.6,676.32,0.19999999999999996,519.1184005472988,351090.1566581492,0.10524416188622154
137,2290,289.06,346.87,0.19999308102124136,1011.8669774463159,350986.2984668036,0.04336641013487552
13,2707,230.86,277.03,0.19999133674088165,1232.9674123249501,341568.9622363809,0.04383407723422261
10,1962,563.6,676.32,0.19999999999999996,486.6361718055867,329121.7757155544,0.04151373297983996
137,1962,562.6,675.12,0.19999999999999996,471.62971502908465,318406.65321043564,0.041516329296108045
24,1962,562.6,675.12,0.19999999999999996,461.68674580996617,311693.9558312244,0.04346862960760256
174,1962,563.6,676.32,0.19999999999999996,460.84496169914445,311678.6644963654,0.041518299617727794
10,1727,464.63,557.56,0.20000860900071005,546.4817412272016,304696.3596386385,0.043865158773964574
51,1962,562.63,675.16,0.20000710946803402,451.1724333465511,304613.5800982574,0.04152146759046249
13,1993,159.14,190.97,0.20001256755058439,1590.7861393739092,303792.42903623544,0.02853577304361221
174,1885,159.14,190.97,0.20001256755058439,1560.2363453126802,297958.33486436255,0.02853611403976597
137,1109,301.67,362.0,0.1999867404780058,820.9094623777986,297169.2253807631,0.04509819900606171
43,1109,283.3,339.96,0.19999999999999996,869.3268442273964,295536.35396354564,0.04147781078767088
13,1754,317.25,380.7,0.19999999999999996,763.3392031307537,290603.2346318779,0.04148415343265788
67,2290,285.21,342.25,0.19999298762315498,845.5374037643361,289385.176438344,0.041477794562941206
52,1109,300.76,360.91,0.19999335017954523,792.7221520827192,286101.35190817417,0.04148099087920942
86,2581,564.6,677.52,0.19999999999999996,420.6184250284142,284977.3953252512,0.041526540008188895
52,2581,563.63,676.36,0.20000709685431928,421.0379432848993,284773.2233201745,0.04152776452465923
43,1885,158.14,189.77,0.20001264702162658,1466.7283491929902,278341.0388263538,0.04146155059948953
11,1962,562.6,675.12,0.19999999999999996,407.1821230468624,274896.79491139774,0.0415296551362111
52,1885,157.14,188.57,0.20001272750413657,1451.4868704370992,273706.8791583238,0.04493623643441591
13,2826,379.33,455.2,0.20001054490812753,600.4299305150291,273315.70437044126,0.04150022610304516
13,1727,455.9,547.08,0.20000000000000018,494.4115620570003,270482.67737014376,0.04271788872406579
67,1885,157.14,188.57,0.20001272750413657,1425.1345579135468,268737.6235857575,0.041462355811160756
137,1885,158.14,189.77,0.20001264702162658,1405.220563924489,266668.70641595026,0.028538083025415828
86,1754,319.16,382.99,0.19999373355057015,695.074667841095,266206.647036461,0.04148809937582243
65,1962,512.19,614.63,0.20000390480095254,425.6578186149093,261622.06505528168,0.04259976039015645
27,1885,159.11,190.93,0.199987430079819,1359.618274078109,259591.91706973335,0.02853550254801851
59,2290,286.18,343.42,0.2000139772171361,750.5574491348707,257756.4391818973,0.04148763381448728
10,1885,158.14,189.77,0.20001264702162658,1354.8378997720524,257107.5882397424,0.04146378681710272
